locality,lat,lng,metro_distance_km,it_hub_distance_km,hospital_count,school_count,mall_count,park_count,road_density,amenity_score,connectivity_score
Saroornagar,17.361165,78.538744,2.6988,19.0573,75,17,40,27,3168,3.0994,6.8056
Meerpet,17.454643,78.57155,5.8435,19.7517,13,7,1,4,2331,0.4873,5.0075
Badangpet,17.338347,78.522213,0.4712,19.131,38,4,6,16,2743,1.2476,5.8926
Balapur,17.309071,78.502772,4.2503,20.0253,6,4,2,3,2084,0.2924,4.4769
Turkayamjal,17.287794,78.588516,7.9489,28.1349,2,2,1,5,1065,0.1949,2.2879
Musheerabad,17.419142,78.498573,1.8989,12.4991,45,41,21,71,4655,3.4698,10.0
RTC X Roads,17.407032,78.496802,2.8989,12.7646,81,51,29,59,3177,4.2885,6.8249
Gandhi Nagar,17.412345,78.489919,2.4918,11.8683,65,45,20,82,2947,4.1326,6.3308
Koti,17.384731,78.483664,0.6009,12.7284,82,25,15,62,2225,3.5867,4.7798
Sultan Bazar,17.387044,78.486965,1.0235,12.8742,85,32,16,72,2368,3.9961,5.087
King Koti,17.393682,78.482395,0.8226,12.0694,90,38,21,76,1976,4.386,4.2449
Troop Bazar,17.382437,78.470195,0.8623,11.7494,64,21,9,57,2749,2.9435,5.9055
Chirag Ali Lane,17.390417,78.474358,0.2019,11.5569,88,29,17,67,1843,3.9181,3.9592
Narayanguda,17.398116,78.488501,1.6362,12.3873,92,42,23,68,2608,4.386,5.6026
Vidyanagar,17.401935,78.509581,2.9206,14.2342,45,29,13,41,3230,2.4951,6.9388
Domalguda,17.407846,78.485,1.8464,11.5777,81,42,22,74,2173,4.269,4.6681
Goshamahal,17.380576,78.468846,1.0388,11.7756,222,108,50,133,2756,10.0,5.9205
Barkatpura,17.392612,78.496968,2.2509,13.4684,77,42,23,57,2777,3.8791,5.9656
Greenlands,17.42921,78.455361,0.5459,7.7867,83,20,39,80,1509,4.3275,3.2417
Liberty,17.407102,78.476259,0.93,10.7747,84,39,18,77,1215,4.2495,2.6101
Padmarao Nagar,17.425601,78.508515,0.8906,13.3486,45,29,16,71,3700,3.1384,7.9484
Marredpally,17.450794,78.504897,1.4407,12.676,55,20,16,33,2696,2.4172,5.7916
West Marredpally,17.45121,78.502096,1.438,12.3792,55,22,16,38,2703,2.5536,5.8067
Chilkalguda,17.431532,78.507162,0.2505,13.0861,49,25,14,71,3095,3.0994,6.6488
Trimulgherry,17.473821,78.510553,3.7561,13.5281,10,15,6,10,1610,0.7992,3.4586
Tilaknagar,17.39123,78.50601,2.9085,14.3885,52,28,15,63,3401,3.0799,7.3061
Karkhana,17.473214,78.511502,3.8328,13.6142,14,13,8,9,1606,0.8577,3.4501
SD Road,17.423064,78.346391,4.0034,1.9129,1,7,2,23,398,0.6433,0.855
Paradise,17.441705,78.487426,1.5197,10.8661,50,18,14,55,2474,2.6706,5.3147
Rasoolpura,17.438691,78.473499,1.2125,9.4359,32,12,15,44,1581,2.0078,3.3963
Bolarum,17.529823,78.515506,8.4305,16.3826,19,4,1,3,2515,0.5263,5.4028
Regimental Bazar,17.436018,78.500422,0.2703,12.3061,52,18,14,74,3038,3.0799,6.5263
Lalapet,17.43883,78.54187,2.7372,16.6483,27,15,14,20,3145,1.4815,6.7562
Ramanthapur,17.388504,78.537168,2.3658,17.5111,26,12,19,19,3331,1.4815,7.1557
Tukaram Gate,17.441072,78.522206,1.6547,14.5494,45,14,19,31,3227,2.1248,6.9323
Mallapur,17.440537,78.578855,4.8583,20.5511,6,8,13,2,2027,0.5653,4.3545
