locality,lat,lng,metro_distance_km,it_hub_distance_km,hospital_count,school_count,mall_count,park_count,road_density,amenity_score,connectivity_score,police_count,industrial_count,crime_score,construction_count,road_construction_count,commercial_count,metro_proximity_score,it_proximity_score,growth_score
Balanagar,17.476822,78.421965,2.5561,4.8656,17,13,15,13,2291,1.1306,4.9216,4,11,6.1411,28,5,24,8.7219,7.5672,1.9071
Suraram,17.536095,78.418639,7.3662,10.1599,6,8,1,6,1048,0.4094,2.2513,1,2,8.1743,1,3,4,6.3169,4.92,0.4749
AS Rao Nagar,17.479869,78.550965,6.8131,17.8644,30,8,19,26,3533,1.6179,7.5897,1,9,7.5934,0,5,4,6.5934,1.0678,0.4173
Kapra,17.484636,78.561009,7.8247,19.0115,24,8,15,32,3152,1.54,6.7712,1,4,8.0083,0,5,4,6.0877,0.4942,0.3931
Amberpet,17.386178,78.511471,2.871,15.1626,71,20,19,67,3083,3.4503,6.623,16,6,5.9751,0,4,5,8.5645,2.4187,0.5027
Nampally,17.392399,78.470148,0.456,11.0651,84,39,20,76,2010,4.269,4.3179,16,4,1.1203,0,4,33,9.772,4.4675,1.5147
Abids,17.389478,78.477182,0.1254,11.8622,87,27,15,74,1807,3.9571,3.8818,17,6,0.2075,0,4,25,9.9373,4.0689,1.2412
Himayatsagar,17.324562,78.372152,11.3493,13.082,6,3,1,6,180,0.3119,0.3867,0,1,7.2199,0,0,0,4.3254,3.459,0.1741
Patancheru,17.528609,78.267425,9.2235,12.0027,5,9,4,1,1716,0.3704,3.6864,2,9,6.8465,0,2,1,5.3883,3.9986,0.2882
Isnapur,17.544125,78.197894,16.7404,19.0886,2,2,0,2,686,0.117,1.4737,0,6,7.3444,0,21,0,1.6298,0.4557,0.5162
Toopran,17.842008,78.479894,40.8467,44.4974,9,1,0,0,261,0.1949,0.5607,0,0,7.0539,0,0,0,0.0,0.0,0.0
Sadashivpet,17.632606,77.90277,49.5325,51.6253,2,0,0,0,12,0.039,0.0258,0,0,6.805,0,0,0,0.0,0.0,0.0
Zaheerabad,17.679403,77.615308,80.2502,82.1004,4,3,0,2,2371,0.1754,5.0934,0,0,6.3485,0,0,0,0.0,0.0,0.0
Tandur,17.254701,77.58583,85.2277,83.5727,13,2,4,0,1828,0.3704,3.927,1,0,8.0083,0,1,0,0.0,0.0,0.0224
Vikarabad,17.270285,77.745297,68.7218,66.7869,1,0,0,0,0,0.0195,0.0,0,0,8.1743,0,0,0,0.0,0.0,0.0
Chevella,17.313515,78.136751,29.0679,26.5514,4,0,0,0,442,0.078,0.9495,0,0,7.5934,0,0,0,0.0,0.0,0.0
Ibrahimpatnam,17.196169,78.648189,19.7922,39.7153,3,1,0,1,1822,0.0975,3.9141,1,0,8.3402,0,0,0,0.1039,0.0,0.0023
Nagaram,17.491011,78.613677,11.5757,24.6299,9,2,3,3,2788,0.3314,5.9893,0,16,6.8465,0,0,3,4.2122,0.0,0.1948
Dammaiguda,17.499288,78.583719,10.5802,21.7254,8,2,6,7,3662,0.4483,7.8668,1,5,7.9253,0,4,4,4.7099,0.0,0.3289
Dundigal,17.50621,78.505108,5.6091,14.1318,9,3,2,4,4104,0.3509,8.8163,2,0,8.0913,0,4,0,7.1955,2.9341,0.3159
Quthbullapur,17.496665,78.460645,4.0246,9.4952,21,17,10,4,3571,1.0136,7.6713,1,7,6.805,0,6,0,7.9877,5.2524,0.4302
Jeedimetla,17.519687,78.446888,6.9237,10.0937,16,20,9,5,1917,0.9747,4.1182,3,3,8.2573,0,3,0,6.5381,4.9531,0.324
Bahadurpura,17.357067,78.454542,3.6309,12.6379,18,13,1,34,2558,1.2865,5.4952,8,1,3.9834,0,0,7,8.1845,3.681,0.5001
Santoshnagar,17.363843,78.498442,0.251,15.3783,42,15,9,77,4212,2.7875,9.0483,17,3,3.2365,0,5,15,9.8745,2.3109,0.8874
Karmanghat,17.341006,78.532975,0.4641,19.8285,33,4,11,19,3712,1.306,7.9742,4,3,5.3112,0,3,8,9.768,0.0858,0.5557
Saroornagar,17.361165,78.538744,2.6988,19.0573,75,17,40,27,3168,3.0994,6.8056,7,5,4.4398,0,5,12,8.6506,0.4713,0.7183
Meerpet,17.454643,78.57155,5.8435,19.7517,13,7,1,4,2331,0.4873,5.0075,1,26,6.1826,0,4,2,7.0783,0.1242,0.3176
Badangpet,17.338347,78.522213,0.4712,19.131,38,4,6,16,2743,1.2476,5.8926,4,3,6.805,0,4,7,9.7644,0.4345,0.5523
Balapur,17.309071,78.502772,4.2503,20.0253,6,4,2,3,2084,0.2924,4.4769,1,1,6.888,0,1,0,7.8749,0.0,0.1984
Turkayamjal,17.287794,78.588516,7.9489,28.1349,2,2,1,5,1065,0.1949,2.2879,0,1,8.0913,1,0,0,6.0255,0.0,0.1571
Musheerabad,17.419142,78.498573,1.8989,12.4991,45,41,21,71,4655,3.4698,10.0,14,7,7.7593,0,3,25,9.0505,3.7504,1.1918
RTC X Roads,17.407032,78.496802,2.8989,12.7646,81,51,29,59,3177,4.2885,6.8249,13,8,4.6473,0,5,17,8.5505,3.6177,0.9541
Gandhi Nagar,17.412345,78.489919,2.4918,11.8683,65,45,20,82,2947,4.1326,6.3308,17,8,5.1037,0,3,30,8.7541,4.0659,1.36
Koti,17.384731,78.483664,0.6009,12.7284,82,25,15,62,2225,3.5867,4.7798,21,7,0.1245,0,4,24,9.6996,3.6358,1.1926
Sultan Bazar,17.387044,78.486965,1.0235,12.8742,85,32,16,72,2368,3.9961,5.087,21,7,0.0,0,3,25,9.4883,3.5629,1.1974
King Koti,17.393682,78.482395,0.8226,12.0694,90,38,21,76,1976,4.386,4.2449,15,8,10.0,0,4,31,9.5887,3.9653,1.4323
Troop Bazar,17.382437,78.470195,0.8623,11.7494,64,21,9,57,2749,2.9435,5.9055,19,3,0.6224,0,4,24,9.5688,4.1253,1.2006
Chirag Ali Lane,17.390417,78.474358,0.2019,11.5569,88,29,17,67,1843,3.9181,3.9592,17,5,0.8299,0,5,26,9.8991,4.2215,1.2996
Narayanguda,17.398116,78.488501,1.6362,12.3873,92,42,23,68,2608,4.386,5.6026,17,8,1.7012,0,5,24,9.1819,3.8064,1.2072
Vidyanagar,17.401935,78.509581,2.9206,14.2342,45,29,13,41,3230,2.4951,6.9388,11,8,4.7718,0,4,9,8.5397,2.8829,0.6467
Domalguda,17.407846,78.485,1.8464,11.5777,81,42,22,74,2173,4.269,4.6681,14,8,3.3195,0,3,32,9.0768,4.2111,1.4375
Goshamahal,17.380576,78.468846,1.0388,11.7756,222,108,50,133,2756,10.0,5.9205,19,2,1.0373,0,4,25,9.4806,4.1122,1.2319
Barkatpura,17.392612,78.496968,2.2509,13.4684,77,42,23,57,2777,3.8791,5.9656,15,8,2.0332,0,5,18,8.8745,3.2658,0.987
Greenlands,17.42921,78.455361,0.5459,7.7867,83,20,39,80,1509,4.3275,3.2417,10,1,5.3942,0,9,41,9.7271,6.1067,1.9305
Liberty,17.407102,78.476259,0.93,10.7747,84,39,18,77,1215,4.2495,2.6101,14,6,2.9876,0,6,41,9.535,4.6127,1.8257
Padmarao Nagar,17.425601,78.508515,0.8906,13.3486,45,29,16,71,3700,3.1384,7.9484,9,8,7.5519,0,1,22,9.5547,3.3257,1.0483
Marredpally,17.450794,78.504897,1.4407,12.676,55,20,16,33,2696,2.4172,5.7916,9,0,7.9253,0,1,18,9.2797,3.662,0.9155
West Marredpally,17.45121,78.502096,1.438,12.3792,55,22,16,38,2703,2.5536,5.8067,10,0,7.9253,0,1,18,9.281,3.8104,0.9188
Chilkalguda,17.431532,78.507162,0.2505,13.0861,49,25,14,71,3095,3.0994,6.6488,11,7,7.7178,0,1,22,9.8748,3.4569,1.0584
Trimulgherry,17.473821,78.510553,3.7561,13.5281,10,15,6,10,1610,0.7992,3.4586,4,1,8.0498,0,1,3,8.122,3.2359,0.377
Tilaknagar,17.39123,78.50601,2.9085,14.3885,52,28,15,63,3401,3.0799,7.3061,14,8,4.9378,0,4,7,8.5457,2.8057,0.5781
Karkhana,17.473214,78.511502,3.8328,13.6142,14,13,8,9,1606,0.8577,3.4501,4,1,8.0498,0,1,4,8.0836,3.1929,0.4087
SD Road,17.423064,78.346391,4.0034,1.9129,1,7,2,23,398,0.6433,0.855,5,3,8.7552,15,11,82,7.9983,9.0435,3.7128
Paradise,17.441705,78.487426,1.5197,10.8661,50,18,14,55,2474,2.6706,5.3147,13,2,7.9668,0,1,25,9.2401,4.567,1.1696
Rasoolpura,17.438691,78.473499,1.2125,9.4359,32,12,15,44,1581,2.0078,3.3963,15,2,7.5934,0,4,37,9.3938,5.282,1.6586
Bolarum,17.529823,78.515506,8.4305,16.3826,19,4,1,3,2515,0.5263,5.4028,1,0,8.0913,0,11,0,5.7847,1.8087,0.4158
Regimental Bazar,17.436018,78.500422,0.2703,12.3061,52,18,14,74,3038,3.0799,6.5263,13,2,8.1743,0,1,22,9.8649,3.8469,1.0669
Lalapet,17.43883,78.54187,2.7372,16.6483,27,15,14,20,3145,1.4815,6.7562,4,17,7.4274,6,0,6,8.6314,1.6759,0.5659
Ramanthapur,17.388504,78.537168,2.3658,17.5111,26,12,19,19,3331,1.4815,7.1557,12,5,6.2241,2,3,14,8.8171,1.2445,0.8064
Tukaram Gate,17.441072,78.522206,1.6547,14.5494,45,14,19,31,3227,2.1248,6.9323,8,4,9.1701,0,1,11,9.1727,2.7253,0.6574
Mallapur,17.440537,78.578855,4.8583,20.5511,6,8,13,2,2027,0.5653,4.3545,0,31,5.6017,5,3,2,7.5709,0.0,0.4153
